site_code,config_id,antenna_id,node,start_date,end_date,site_type,site_name,antenna_group,site_description,site_type_name,rkm,rkm_total,latitude,longitude
AH1,100,01,AH1_U,2018-11-15T00:00:00Z,NA,INT,Ahtanum at Lasalle HS,Upstream Antenna,Ahtanum Creek site is located 3 KM from the mouth of Ahtanum Creek at the lower end of the Lasalle High School property.  The site layout consist of an upstream and downstream antenna spaced about 4 meters apart.  The antennas are arranged in a pass through configuration.,Instream Remote Detection System,539.172.004,715,46.547465,-120.495246
AH1,100,02,AH1_D,2018-11-15T00:00:00Z,NA,INT,Ahtanum at Lasalle HS,Downstream Antenna,Ahtanum Creek site is located 3 KM from the mouth of Ahtanum Creek at the lower end of the Lasalle High School property.  The site layout consist of an upstream and downstream antenna spaced about 4 meters apart.  The antennas are arranged in a pass through configuration.,Instream Remote Detection System,539.172.004,715,46.547465,-120.495246
ICH,100,01,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 438 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,02,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 438 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,03,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 437 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,04,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 437 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,05,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 436 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,06,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 436 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,07,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 435 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
ICH,100,08,ICH_D,2005-04-08T09:05:00Z,2015-12-09T13:00:00Z,INT,Ice Harbor Dam (Combined),LEFT LADDER WEIR 435 [O/S],Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass,Combined Dam Location,522.016,538,46.249527,-118.879964
