site_code,node,site_name,site_type,site_description
AH1,AH1_D,Ahtanum at Lasalle HS,INT,Ahtanum Creek site is located 3 KM from the mouth of Ahtanum Creek at the lower end of the Lasalle High School property.  The site layout consist of an upstream and downstream antenna spaced about 4 meters apart.  The antennas are arranged in a pass through configuration.
AH1,AH1_U,Ahtanum at Lasalle HS,INT,Ahtanum Creek site is located 3 KM from the mouth of Ahtanum Creek at the lower end of the Lasalle High School property.  The site layout consist of an upstream and downstream antenna spaced about 4 meters apart.  The antennas are arranged in a pass through configuration.
ICH,ICH_D,Ice Harbor Dam (Combined),INT,Ice Harbor Dam Adult Fishways (both) and Full Flow Bypass
JD1,JD1_D,"John Day River, McDonald Ferry",INT,"John Day River in-stream detection, near McDonald Ferry at RM 20"
158,JDA,Fifteenmile Ck at Eightmile Ck,INT,"Instream detection array at the confluence of Eightmile creek and Fifteenmile creeks, consisting of a FS1001M multiplexing transceiver, cell modem, and three antennas in each creek. antenna arrays for each creek consist of one antenna each that spans the normal high-water mark and is secured to the substrate for pass-over detection. Site is grid-powered and operates year-round. site is on private land."
15D,JDA,Fifteenmile Ck at Dry Ck,INT,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019."
15MILC,JDA,"Fifteen Mile Creek, near The Dalles, Oregon",MRR,River
15R,JDA,Fifteenmile Ck at Ramsey Ck,INT,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018"
3MIL2C,JDA,"Threemile Creek, The Dalles",MRR,River
85M,JDA,Eightmile Ck at Fivemile Ck,INT,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIVEMILE CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF THREE ANTENNAS IN EACH CREEK. EACH ANTENNA SPANS THE CREEK WITHIN THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site removed December 2018."
