"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B239DC3E5","Steelhead","Unknown","Mark","Intra-Dam Release Site","BONAFF","10/13/2013 9:05:00 AM","NA","0","COLR3","10/13/2013 2:30:00 PM","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:08:05 AM","18","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:40 AM","16","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:41 AM","16","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:46 AM","14","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:47 AM","14","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:56 AM","12","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:09:57 AM","12","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:32:28 AM","10","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:32:29 AM","10","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:35:21 AM","0E","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:35:22 AM","0E","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:35:56 AM","0C","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:36:01 AM","0A","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:36:02 AM","0A","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:40:25 AM","08","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:40:26 AM","08","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:40:30 AM","06","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:40:31 AM","06","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:40:36 AM","04","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO3","10/14/2013 7:44:55 AM","02","110","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:53:14 AM","04","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:53:15 AM","04","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:54:06 AM","03","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:57:13 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:57:14 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:59:13 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 8:59:14 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:15:08 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:15:09 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:16:33 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:16:34 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:23:11 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:24:18 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","BO4","10/14/2013 9:24:19 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:54:18 AM","13","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:54:19 AM","13","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:56:44 AM","10","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:56:45 AM","10","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:59:04 AM","0E","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:59:44 AM","0C","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 10:59:45 AM","0C","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:04:10 AM","0A","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:04:11 AM","0A","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:04:27 AM","08","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:07:37 AM","06","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:07:38 AM","06","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:09:13 AM","05","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 11:09:14 AM","05","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 12:06:07 PM","03","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 12:06:08 PM","02","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 12:06:09 PM","02","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","MC2","10/31/2013 12:06:10 PM","01","120","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","TD1","10/18/2013 10:37:19 AM","02","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","TD1","10/18/2013 10:37:25 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Observation","Adult Fishway","TD1","10/18/2013 10:37:26 AM","01","100","","","1"
"384.3B239DC3E5","Steelhead","Unknown","Recapture","Dam","PRO","9/15/2013 12:00:00 PM","NA","0","PROTAL","4/12/2014 12:00:00 AM","1"
"384.3B23AD1D39","Steelhead","Unknown","Mark","Intra-Dam Release Site","BONAFF","7/25/2013 12:00:00 PM","NA","0","BONAFF","7/25/2013 12:00:00 PM","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:13:37 AM","01","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:13:41 AM","02","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:13:44 AM","03","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:13:49 AM","04","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:31:09 AM","F1","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Juvenile Fish Bypass Facility","MCJ","4/16/2014 10:31:10 AM","F2","170","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/14/2014 12:58:50 PM","15","100","","","2"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","2/14/2014 12:59:18 PM","12","100","","","2"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","3/21/2014 10:40:07 PM","11","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Instream Remote Detection System","SAT","3/21/2014 10:40:31 PM","13","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 10:59:49 AM","0F","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 10:59:50 AM","0F","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:00:40 AM","10","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:02:56 AM","0F","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:02:57 AM","0F","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:05:32 AM","0D","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:05:33 AM","0D","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:07:22 AM","0B","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:07:23 AM","0B","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:08:57 AM","09","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:08:58 AM","09","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:10:16 AM","08","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:12:09 AM","05","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:12:10 AM","05","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:13:43 AM","03","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO3","7/25/2013 11:13:44 AM","03","110","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:45:39 AM","04","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:45:40 AM","04","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:47:43 AM","03","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:49:34 AM","02","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:49:35 AM","02","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","BO4","7/25/2013 11:50:53 AM","01","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:40:39 AM","11","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:40:40 AM","11","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:41:37 AM","10","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:45:23 AM","0E","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:45:43 AM","0C","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:45:44 AM","0C","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:47:31 AM","0A","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:47:32 AM","0A","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:49:12 AM","07","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 7:51:38 AM","04","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 9:00:09 AM","02","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 9:00:10 AM","02","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","MC1","7/31/2013 9:00:15 AM","01","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","TD1","7/27/2013 2:27:24 PM","02","100","","","1"
"384.3B23AD1D39","Steelhead","Unknown","Observation","Adult Fishway","TD1","7/27/2013 2:27:25 PM","02","100","","","1"
