"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Mark","ROZ","1/24/2011 12:00:00 PM","3/11/2011 12:00:00 AM","NA","0","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:43:29 PM","","17","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:43:30 PM","","17","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:45:22 PM","","16","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:45:23 PM","","16","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:47:04 PM","","14","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 2:47:09 PM","","12","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:22:40 PM","","10","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:25:50 PM","","0E","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:29:23 PM","","0C","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:29:24 PM","","0C","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:31:08 PM","","0A","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:31:09 PM","","0A","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:32:19 PM","","08","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:34:16 PM","","06","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:36:11 PM","","04","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO3","7/16/2012 3:36:16 PM","","02","110","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:19:38 PM","","04","100","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:19:39 PM","","04","100","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:20:59 PM","","03","100","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:21:00 PM","","03","100","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:24:10 PM","","02","100","1"
"3D9.1BF1C517D9","Wild Fish or Natural Production","Observation","BO4","7/16/2012 4:26:38 PM","","01","100","1"
