"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D6E8041","Steelhead","Unknown","Mark","Dam","PRO","9/24/2019 7:29:18 AM","NA","0","PROTAL","9/24/2019 7:29:18 AM","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 10:26:32 AM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 10:26:33 AM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 10:26:40 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 10:26:41 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 10:26:42 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 7:29:14 PM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 7:29:21 PM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 7:29:22 PM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 9:12:19 PM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 9:12:20 PM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 9:12:21 PM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 9:12:37 PM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/24/2019 9:12:38 PM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/25/2019 6:18:19 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/25/2019 6:18:20 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/25/2019 6:18:21 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","9/25/2019 6:18:27 AM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","10/27/2019 4:10:41 AM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","10/27/2019 4:10:42 AM","05","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Observation","Combined Dam Location","PRO","10/27/2019 4:11:00 AM","06","110","","","1"
"3D9.1C2D6E8041","Steelhead","Unknown","Recapture","Dam","PRO","10/26/2019 4:07:45 PM","NA","0","PROTAL","10/26/2019 4:07:45 PM","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Mark","Dam","PRO","11/1/2018 11:00:00 AM","NA","0","PROTAL","11/1/2018 11:00:00 AM","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","3/16/2019 9:34:42 PM","0F","110","","","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Observation","Instream Remote Detection System","SUN","3/16/2019 9:35:15 PM","07","110","","","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Observation","Combined Dam Location","PRO","11/1/2018 7:47:01 PM","02","110","","","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Observation","Combined Dam Location","PRO","11/1/2018 7:47:02 PM","02","110","","","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Observation","Combined Dam Location","PRO","11/1/2018 7:47:03 PM","01","110","","","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Recapture","Dam","PRO","5/3/2019 11:00:00 AM","NA","0","PROTAL","5/3/2019 11:00:00 AM","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Recapture","Dam","PRO","10/31/2019 11:00:00 AM","NA","0","PROTAL","10/31/2019 11:00:00 AM","1"
"3D9.1C2D708FA5","Steelhead","Unknown","Recapture","Dam","PRO","11/4/2019 5:21:20 PM","NA","0","PROTAL","11/4/2019 5:21:20 PM","1"
