Tag Code,Mark Species Name,Mark Rear Type Name,Event Type Name,Event Site Type Description,Event Site Code Value,Event Date Time Value,Antenna ID,Antenna Group Configuration Value,Event Release Site Code Code,Event Release Date Time Value,CTH Count
3D9.1C2D759D1C,Steelhead,Unknown,Mark,Dam,PRO,9/29/21 8:38,NA,0,PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam,9/29/21,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:20,14,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:26,12,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:28,10,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:35,0E,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:35,0C,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:40,0A,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:41,8,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/28/22 21:49,6,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:22,4,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:26,3,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:27,2,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:27,2,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:28,1,120,,,1
3D9.1C2D759D1C,Steelhead,Unknown,Observation,Adult Fishway,BO1,8/29/22 6:28,1,120,,,1
3D9.1C2D763991,Steelhead,Unknown,Mark,Dam,PRO,10/16/21 22:06,NA,0,PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam,10/16/21,1
3D9.1C2D76493A,Steelhead,Unknown,Mark,Dam,PRO,10/15/21 13:41,NA,0,PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam,10/15/21,1
