"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Name","Event Release Date MMDDYYYY","CTH Count"
"3D9.1C2D759D1C","Steelhead","Unknown","Mark","Dam","PRO","9/29/2021 8:38:01 AM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","9/29/2021","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:20:35 PM","14","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:26:43 PM","12","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:28:53 PM","10","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:35:17 PM","0E","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:35:39 PM","0C","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:40:41 PM","0A","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:41:58 PM","08","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/28/2022 9:49:39 PM","06","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:22:35 AM","04","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:26:07 AM","03","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:27:11 AM","02","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:27:12 AM","02","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:28:03 AM","01","120","","","1"
"3D9.1C2D759D1C","Steelhead","Unknown","Observation","Adult Fishway","BO1","8/29/2022 6:28:04 AM","01","120","","","1"
"3D9.1C2D763991","Steelhead","Unknown","Mark","Dam","PRO","10/16/2021 10:06:17 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/16/2021","1"
"3D9.1C2D76493A","Steelhead","Unknown","Mark","Dam","PRO","10/15/2021 1:41:35 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/15/2021","1"
"3D9.1C2D7E0F59","Steelhead","Unknown","Mark","Dam","PRO","10/16/2021 4:27:27 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/16/2021","1"
"3D9.1C2D7E5FA7","Steelhead","Unknown","Mark","Dam","PRO","10/14/2021 10:25:27 AM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/14/2021","1"
"3D9.1C2D811374","Steelhead","Unknown","Mark","Dam","PRO","10/15/2021 1:49:12 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/15/2021","1"
"3D9.1C2D81679B","Steelhead","Unknown","Mark","Dam","PRO","9/30/2021 1:42:47 PM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","9/30/2021","1"
"3D9.1C2D81679B","Steelhead","Unknown","Observation","Instream Remote Detection System","AH1","3/25/2022 2:31:48 AM","02","100","","","1"
"3D9.1C2D81679B","Steelhead","Unknown","Observation","Instream Remote Detection System","AH1","3/25/2022 2:32:09 AM","01","100","","","1"
"3D9.1C2D84BEE4","Steelhead","Unknown","Mark","Dam","PRO","10/7/2021 8:17:38 AM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/7/2021","1"
"3D9.1C2D84C67B","Steelhead","Unknown","Mark","Dam","PRO","10/1/2021 9:38:16 AM","NA","0","PROTAL - PRO - Release into the Tailrace within 0.5 km downstream of Dam","10/1/2021","1"
