Tag Code,Mark Species Name,Mark Rear Type Name,Event Type Name,Event Site Type Description,Event Site Code Value,Event Date Time Value,Antenna ID,Antenna Group Configuration Value,Event Release Site Code Code,Event Release Date Time Value,CTH Count
3D9.1C2D764133,Steelhead,Wild Fish or Natural Production,Mark,Dam,PRO,9/27/23 9:32,NA,0,PROFBY,9/27/23 9:32,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Mark,Dam,PRO,9/28/23 10:05,NA,0,PROFBY,9/28/23 10:05,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 2:59,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 2:59,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 2:59,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:02,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:02,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:02,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:02,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:02,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:08,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:08,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:09,2,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:11,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 3:11,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 21:36,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 21:36,2,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 21:36,2,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/12/24 21:36,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 15:24,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 15:24,3,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 15:28,2,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 15:31,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 15:31,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 18:39,1,110,,,1
3D9.1C2D7DFCE4,Steelhead,Wild Fish or Natural Production,Observation,Combined Dam Location,ROZ,3/19/24 18:39,1,110,,,1
