ParentSite,ChildSite
PRA,PRA
PRA,BelowJD1
PRA,JD1
PRA,TMF
PRA,PRV
PRV,HST
PRV,MDR
PRA,ICH
PRA,PRO
PRA,RSH
PRA,PRH
PRA,RIA
RIA,LWE
LWE,MCL
LWE,PES
PES,PEU
LWE,CHM
LWE,ICL
ICL,LNF
ICL,ICM
ICM,ICU
LWE,TUM
TUM,CHW
TUM,CHL
CHL,CHU
TUM,UWE
UWE,NAL
NAL,NAU
UWE,WTL
UWE,LWN
RIA,RRF
RRF,ENL
ENL,RCT
ENL,EHL
ENL,ENA
ENL,MAD
ENA,ENM
ENM,ENS
ENS,ENF
RRF,WEA
WEA,LMR
LMR,GLC
LMR,LBC
LMR,MRC
MRC,BVC
MRC,TWR
TWR,TWISPW
MRC,CRW
CRW,CRU
MRC,SCP
MRC,MRW
MRC,MSH
MSH,METH
MRW,WFC
WEA,OKL
OKL,LLC
OKL,SA1
SA1,SA0
OKL,OMK
OMK,OBF
OKL,WAN
OKL,JOH
OKL,TNK
OKL,AEN
OKL,BPC
OKL,ANT
OKL,WHS
OKL,ZSL
ZSL,TON
ZSL,NMC
ZSL,OKI
ZSL,OKC
WEA,FST
