TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight
384.3B23A8BBDA,2019-04-16 18:41:05,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TP2A0, TP2B0, TOPB0, TOPA0",Prosser,pb,2019-04-10T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,F,68,NA,56,7
3D9.1C2D70563A,2019-03-15 21:06:15,SM1,SM1A0,"PRO, TOPB0, TOPA0, SM1B0, SM1A0, TOPA0, TOPB0",Prosser,pb,2018-12-05T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,60,NA,47,4
3D9.1C2D75CCE7,2019-04-24 03:37:12,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0",Prosser,pb,2019-04-17T00:00:00Z,0.29444444444444445,wsth,NA,PAS,--,NA,M,72,NA,57,7.35
3D9.1C2D76325A,2019-04-13 19:24:09,SAT,SATA0,"PRO, SATA0",Prosser,pb,2019-04-06T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,F,74,NA,61,7
3D9.1C2D7638B8,2019-05-28 01:32:22,TAN,TANA0,"PRO, ROZB0, ROZA0, TANB0, TANA0, TANB0",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,59,NA,48,4.45
3D9.1C2D763A5A,2019-04-05 07:48:13,PRO,PRO,PRO,Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,58,NA,47,3.5
3D9.1C2D764101,2019-04-10 05:53:17,SUN,SUNB0,"PRO, SUNB0",Prosser,pb,2019-03-28T00:00:00Z,0.5916666666666667,wsth,NA,PAS,NA,NA,M,64,NA,52,4.5
3D9.1C2D7645D9,2019-04-03 14:35:11,SAT,SATA0,"PRO, SATA0",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,59,NA,47,4.55
3D9.1C2D780FDC,2019-04-23 06:52:11,PRO,PRO,PRO,Prosser,pb,2019-04-23T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,F,66,NA,53,4.9
3D9.1C2D783619,2019-04-02 22:19:35,SAT,SATA0,"PRO, SATA0, PRO",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,67,NA,54,6.1
3D9.1C2D783890,2019-04-11 03:05:05,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-04-03T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,59,NA,48,4.65
3D9.1C2D7ABA68,2019-03-24 16:59:54,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0",Prosser,pb,2019-02-01T00:00:00Z,0.425,wsth,NA,PAS,NA,NA,F,59,NA,48,2.8
3D9.1C2D7ADE76,2019-04-19 13:08:00,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-04-06T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,F,68,NA,55,6.8
3D9.1C2D7E22BA,2019-05-02 14:35:02,TP2,TP2A0,"PRO, TOPB0, TP2B0, TP2A0, TP2B0",Prosser,pb,2019-04-11T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,M,62,NA,50,4.8
3D9.1C2D7E8FB5,2019-05-06 02:31:01,TAN,TANA0,"PRO, ROZB0, ROZA0, TANA0, TANB0, TANA0",Prosser,pb,2019-04-17T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,M,54,NA,44,3.7
3D9.1C2D7E9D85,2019-04-16 04:02:17,SAT,SATB0,"PRO, SATB0",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,50,NA,40,2.5
3D9.1C2D7EABFE,2019-04-09 13:36:58,LNR,LNR,"PRO, LNR, PRO",Prosser,pb,2019-04-02T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,65,NA,51,5.8
3D9.1C2D8090D7,2019-04-10 23:48:54,ROZ,ROZA0,"PRO, ROZB0, ROZA0",Prosser,pb,2019-04-01T00:00:00Z,0.37777777777777777,hsth,NA,PAS,--,NA,M,56,NA,43,3.1
3D9.1C2D80D4DF,2019-04-17 01:44:41,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-03T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,59,NA,49,4.45
3D9.1C2D80EFC0,2019-04-18 14:47:10,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-01T00:00:00Z,0.425,wsth,NA,PAS,NA,NA,F,75,NA,60,9.65
3D9.1C2D80F7A2,2019-04-02 08:24:59,PRO,PRO,PRO,Prosser,pb,2019-04-02T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,52,NA,42,2.75
3D9.1C2D80FB80,2019-05-01 16:56:44,AH1,AH1A0,"PRO, AH1B0, AH1A0, AH1B0",Prosser,pb,2019-04-01T00:00:00Z,0.37777777777777777,wsth,NA,PAS,--,NA,F,60,NA,48,4.35
3D9.1C2D8102E0,2019-04-09 04:39:22,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,72,NA,58,7.85
3D9.1C2D8120EF,2019-04-25 19:36:46,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-16T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,F,74,NA,61,8
3D9.1C2D812114,2019-04-19 22:48:12,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-04-17T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,F,63,NA,52,5
3D9.1C2D81301B,2019-04-03 07:50:01,PRO,PRO,PRO,Prosser,pb,2019-04-03T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,58,NA,48,4.3
3D9.1C2D821E4A,2019-04-09 01:17:53,SUN,SUNA0,"PRO, SUNA0, PRO",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,61,NA,47,4
3D9.1C2D8236F3,2019-04-19 04:03:04,ROZ,ROZA0,"PRO, SUNB0, ROZB0, ROZA0",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,66,NA,52,8.5
3D9.1C2D8287AD,2019-04-19 07:45:34,PRO,PRO,PRO,Prosser,pb,2019-04-19T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,76,NA,64,7.5
3D9.1C2D83571F,2019-04-02 15:00:29,SAT,SATA0,"PRO, SATA0, PRO",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,60,NA,48,4.15
3D9.1C2D84A90C,2019-04-04 03:17:27,LNR,LNR,"PRO, LNR",Prosser,pb,2019-03-28T00:00:00Z,0.5916666666666667,wsth,NA,PAS,NA,NA,F,64,NA,52,5.7
3D9.1C2D84EB2E,2019-04-02 12:39:49,PRO,PRO,PRO,Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,58,NA,47,4.2
3D9.1C2D851428,2019-04-18 07:45:40,PRO,PRO,PRO,Prosser,pb,2019-04-18T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,53,NA,42,2.4
3D9.1C2D8609F8,2019-04-29 07:29:56,PRO,PRO,PRO,Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,58,NA,47,3.95
3D9.1C2D860DD9,2019-04-19 06:31:11,LNR,LNR,"PRO, LNR",Prosser,pb,2019-04-08T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,NA,61,NA,51,5.2
3D9.1C2D86313E,2019-04-20 06:11:05,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-04-17T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,F,64,NA,54,5.6
3D9.1C2D865239,2019-05-02 23:42:37,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-04-02T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,62,NA,52,5.15
3D9.1C2D865B94,2019-04-07 20:58:18,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-04-01T00:00:00Z,0.37777777777777777,wsth,NA,PAS,--,NA,M,59,NA,46,3.9
3D9.1C2D885135,2019-04-04 08:15:02,PRO,PRO,PRO,Prosser,pb,2019-04-04T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,57,NA,47,0
3D9.1C2D885FAD,2019-05-05 12:07:34,AH1,AH1A0,"PRO, SUNB0, AH1B0, AH1A0",Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,60,NA,50,4.5
3D9.1C2D8862DF,2019-05-05 23:44:54,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2019-04-29T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,59,NA,50,4.2
3D9.1C2D88755F,2019-04-19 04:05:06,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-04-06T00:00:00Z,0.4666666666666666,wsth,NA,PAS,NA,NA,F,71,NA,57,7.1
3D9.1C2D8879C2,2019-04-23 04:58:15,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,57,NA,47,4
3D9.1C2D888DB2,2019-05-04 13:37:25,PRO,PRO,PRO,Prosser,pb,2019-05-04T00:00:00Z,0.5916666666666667,wsth,NA,PAS,NA,NA,F,55,NA,45,3.5
3D9.1C2D8892C8,2019-04-18 20:08:05,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2019-04-09T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,71,NA,57,8
3D9.1C2D88A399,2019-04-20 11:03:10,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2019-04-19T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,69,NA,57,7.05
3D9.1C2D88B163,2019-04-06 15:48:26,SAT,SATA0,"PRO, SATB0, SATA0, PRO",Prosser,pb,2019-04-05T00:00:00Z,0.3416666666666666,hsth,NA,PAS,NA,NA,M,62,NA,49,4.35
3D9.1C2D88B1DD,2019-05-07 13:02:54,LNR,LNR,"PRO, LNR",Prosser,pb,2019-05-01T00:00:00Z,0.3,wsth,NA,PAS,NA,NA,M,65,NA,53,5.4
3D9.1C2D88C25B,2019-04-19 03:24:30,SAT,SATB0,"PRO, SATB0",Prosser,pb,2019-04-01T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,73,NA,60,7.2
