TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3D9.1C2D6E8041,2019-10-27T04:11:00Z,PRO,PRO,PRO,Prosser,pb,2019-09-24T00:00:00Z,-2209045680,wsth,NA,3D9.1C2D6E8041,NA,PAS,NA,NA,F,79,NA,63,9.65,NA
3D9.1C2D708FA5,2019-11-04T17:21:20Z,PRO,PRO,PRO,Prosser,pb,2019-11-04T00:00:00Z,-2209013280,wsth,NA,NA,3D9.1C2D708FA5,PAS,NA,NA,NA,65,NA,52,NA,NA
3DD.003B2F971A,2020-02-06T11:40:04Z,PRO,PRO,PRO,Prosser,pb,2020-02-06T00:00:00Z,-2209034880,wsth,NA,3DD.003B2F971A,NA,PAS,NA,NA,F,69,NA,56,6.65,NA
3DD.003D2F96B8,2020-04-12T10:01:49Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0",Prosser,pb,2020-03-04T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96B8,NA,PAS,NA,NA,M,40,NA,31,1.6,NA
3DD.003D2F96B9,2020-03-23T16:50:29Z,PRO,PRO,PRO,Prosser,pb,2020-03-03T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96B9,NA,PAS,NA,NA,F,69,NA,56,6.25,NA
3DD.003D2F96BA,2020-03-20T09:51:25Z,PRO,PRO,PRO,Prosser,pb,2020-03-20T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96BA,PAS,NA,NA,F,55,NA,45,3.15,NA
3DD.003D2F96BB,2020-04-12T02:54:49Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0",Prosser,pb,2020-02-27T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96BB,NA,PAS,NA,NA,F,64,NA,52,4.55,NA
3DD.003D2F96BC,2020-04-11T03:07:31Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-02-27T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96BC,NA,PAS,NA,NA,F,59,NA,48,3.9,NA
3DD.003D2F96BD,2020-04-30T14:53:10Z,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2020-04-24T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96BD,NA,PAS,NA,NA,F,70,NA,56,6.4,NA
3DD.003D2F96BF,2020-05-09T18:46:02Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0, ROZA0, ROZB0",Prosser,pb,2020-03-04T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96BF,NA,PAS,NA,NA,F,64,NA,51,5.15,NA
3DD.003D2F96C1,2020-03-07T22:13:31Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-02-27T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96C1,NA,PAS,NA,NA,F,72,NA,61,6.95,NA
3DD.003D2F96C3,2020-03-09T09:21:39Z,PRO,PRO,PRO,Prosser,pb,2020-03-09T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96C3,PAS,NA,NA,M,64,NA,49,4.8,NA
3DD.003D2F96C5,2020-04-11T01:14:11Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-03-25T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96C5,NA,PAS,NA,NA,F,53,NA,40,2.85,NA
3DD.003D2F96C6,2020-10-20T11:00:00Z,PRO,PRO,PRO,Prosser,pb,2020-03-09T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96C6,PAS,NA,NA,F,68,NA,56,6.2,NA
3DD.003D2F96C7,2020-03-25T00:34:04Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-03-03T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96C7,NA,PAS,NA,NA,M,53,NA,42,2.6,NA
3DD.003D2F96C8,2020-04-12T03:51:57Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-03-31T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96C8,NA,PAS,NA,NA,M,63,NA,50,4.5,NA
3DD.003D2F96C9,2020-03-25T09:56:31Z,PRO,PRO,PRO,Prosser,pb,2020-03-25T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96C9,NA,PAS,NA,NA,F,64,NA,49,5.75,NA
3DD.003D2F96CB,2020-04-15T06:28:58Z,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2020-03-03T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96CB,NA,PAS,NA,NA,M,57,NA,45,3.65,NA
3DD.003D2F96CC,2020-05-11T09:46:44Z,LNR,LNR,"PRO, LNR",Prosser,pb,2020-05-06T00:00:00Z,-2209045680,wsth,NA,NA,3DD.003D2F96CC,PAS,NA,NA,M,62,NA,49,5.15,NA
3DD.003D2F96CD,2020-04-10T21:36:23Z,LNR,LNR,"PRO, LNR, PRO",Prosser,pb,2020-03-03T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96CD,NA,PAS,NA,NA,F,73,NA,58,7.25,NA
3DD.003D2F96CE,2020-03-01T05:45:54Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0, SATA0",Prosser,pb,2020-02-24T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F96CE,NA,PAS,NA,NA,F,74,NA,62,7.2,NA
3DD.003D2F96CF,2020-03-31T02:57:16Z,MC2,MCN,"PRO, MCN",Prosser,pb,2020-03-09T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96CF,PAS,NA,NA,M,59,NA,47,4.3,NA
3DD.003D2F96D0,2020-03-31T00:23:33Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2020-03-06T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F96D0,NA,PAS,NA,NA,F,66,NA,55,5.6,NA
3DD.003D2F96D1,2020-03-25T20:30:30Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2020-03-09T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96D1,PAS,NA,NA,F,71,NA,58,7,NA
3DD.003D2F96D4,2020-05-04T11:00:00Z,PRO,PRO,PRO,Prosser,pb,2020-03-09T00:00:00Z,-2209038480,wsth,NA,NA,3DD.003D2F96D4,PAS,NA,NA,F,80,NA,65,9.5,NA
3DD.003D2F96D6,2020-04-19T20:37:52Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2020-04-16T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F96D6,NA,PAS,NA,NA,M,67,NA,55,6.55,NA
3DD.003D2F96D7,2020-05-08T09:22:49Z,PRO,PRO,PRO,Prosser,pb,2020-05-08T00:00:00Z,-2209038480,wsth,NA,3DD..003D2F96D,NA,PAS,NA,NA,F,54,NA,44,2.9,NA
3DD.003D2F96D9,2020-04-24T22:18:22Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2020-03-10T00:00:00Z,-2209042080,wsth,NA,NA,3DD.003D2F96D9,PAS,NA,NA,F,53,NA,43,2.95,NA
3DD.003D2F96DA,2020-02-26T23:00:57Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2020-02-24T00:00:00Z,-2209034880,wsth,NA,3DD.003DF96DA,NA,PAS,NA,NA,M,83,NA,66,9.25,NA
3DD.003D2F96DB,2020-05-02T04:26:25Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0",Prosser,pb,2020-02-27T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96DB,NA,PAS,NA,NA,M,60,NA,48,3.35,NA
3DD.003D2F96DD,2020-03-04T14:44:48Z,PRO,PRO,PRO,Prosser,pb,2020-03-04T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96DD,NA,PAS,NA,NA,F,65,NA,53,4.8,NA
3DD.003D2F96DE,2020-03-04T14:50:35Z,PRO,PRO,PRO,Prosser,pb,2020-03-04T00:00:00Z,-2209024080,wsth,NA,3DD.003D2F96DE,NA,PAS,NA,NA,F,56,NA,45,3.85,NA
3DD.003D2F96DF,2020-04-30T08:24:18Z,PRO,PRO,PRO,Prosser,pb,2020-04-30T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F96DF,NA,PAS,NA,NA,F,63,NA,48,5.45,NA
3DD.003D2F96E1,2020-02-27T10:24:16Z,PRO,PRO,PRO,Prosser,pb,2020-02-27T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F96E1,NA,PAS,NA,NA,F,54,NA,45,3,NA
3DD.003D2F96E2,2020-04-30T02:38:13Z,LNR,LNR,"PRO, LNR",Prosser,pb,2020-04-20T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F96E2,NA,PAS,NA,NA,F,55,NA,45,3.85,NA
